target,spectator,load,distance,observed,predicted,sim,h_rho,predicted_regression
rpc_microservice,light_background,0.9,cross_socket,17919.79248719257,176.11214468201229,0.7917484901417818,0.1,2230995.2063452774
kv_lookup,cache_thrash,0.3,same_core,31297.072627490994,100.91975185241154,0.9205303540794937,1.0,3246748.9673476205
kv_lookup,cache_thrash,0.3,same_numa,31297.072627490994,40.36790074096467,0.9205303540794937,0.4,
kv_lookup,cache_thrash,0.3,cross_socket,31297.072627490994,10.091975185241154,0.9205303540794937,0.1,
kv_lookup,cache_thrash,0.6,same_core,31297.072627490994,231.85270587914823,0.9205303540794937,1.0,
kv_lookup,cache_thrash,0.6,same_numa,31297.072627490994,92.74108235165926,0.9205303540794937,0.4,
kv_lookup,cache_thrash,0.6,cross_socket,31297.072627490994,23.18527058791483,0.9205303540794937,0.1,3238939.7965007653
kv_lookup,cache_thrash,0.9,same_core,31297.072627490994,377.1565719026084,0.9205303540794937,1.0,
kv_lookup,cache_thrash,0.9,same_numa,31297.072627490994,150.86262876104337,0.9205303540794937,0.4,
kv_lookup,cache_thrash,0.9,cross_socket,31297.072627490994,37.7156571902608,0.9205303540794937,0.1,
kv_lookup,membw_saturator,0.3,same_core,10772.87429570566,57.4119761760594,0.5236781282918755,1.0,
kv_lookup,membw_saturator,0.3,same_numa,10772.87429570566,22.964790470423736,0.5236781282918755,0.4,
kv_lookup,membw_saturator,0.3,cross_socket,10772.87429570566,5.741197617605906,0.5236781282918755,0.1,128980.6780764535
kv_lookup,membw_saturator,0.6,same_core,10772.87429570566,131.89808518113676,0.5236781282918755,1.0,
kv_lookup,membw_saturator,0.6,same_numa,10772.87429570566,52.75923407245472,0.5236781282918755,0.4,131535.62250485504
kv_lookup,membw_saturator,0.6,cross_socket,10772.87429570566,13.189808518113637,0.5236781282918755,0.1,
kv_lookup,membw_saturator,0.9,same_core,10772.87429570566,214.55962508095848,0.5236781282918755,1.0,
kv_lookup,membw_saturator,0.9,same_numa,10772.87429570566,85.8238500323834,0.5236781282918755,0.4,
kv_lookup,membw_saturator,0.9,cross_socket,10772.87429570566,21.455962508095865,0.5236781282918755,0.1,129834.61316238949
kv_lookup,tlb_stress,0.3,same_core,9211.750511463451,64.4604963089314,0.5879705647530544,1.0,636430.7033284246
kv_lookup,tlb_stress,0.3,same_numa,9211.750511463451,25.78419852357257,0.5879705647530544,0.4,
kv_lookup,tlb_stress,0.3,cross_socket,9211.750511463451,6.446049630893185,0.5879705647530544,0.1,
kv_lookup,tlb_stress,0.6,same_core,9211.750511463451,148.09133214472388,0.5879705647530544,1.0,
kv_lookup,tlb_stress,0.6,same_numa,9211.750511463451,59.236532857889586,0.5879705647530544,0.4,
kv_lookup,tlb_stress,0.6,cross_socket,9211.750511463451,14.80913321447241,0.5879705647530544,0.1,
kv_lookup,tlb_stress,0.9,same_core,9211.750511463451,240.9013039050231,0.5879705647530544,1.0,
kv_lookup,tlb_stress,0.9,same_numa,9211.750511463451,96.3605215620093,0.5879705647530544,0.4,
kv_lookup,tlb_stress,0.9,cross_socket,9211.750511463451,24.09013039050234,0.5879705647530544,0.1,
kv_lookup,light_background,0.3,same_core,6131.874962617678,72.03023179102945,0.6570172197013767,1.0,
kv_lookup,light_background,0.3,same_numa,6131.874962617678,28.81209271641177,0.6570172197013767,0.4,1175102.8591952543
kv_lookup,light_background,0.3,cross_socket,6131.874962617678,7.203023179102956,0.6570172197013767,0.1,1173459.4767945143
kv_lookup,light_background,0.6,same_core,6131.874962617678,165.48201753682116,0.6570172197013767,1.0,1185496.6870633415
kv_lookup,light_background,0.6,same_numa,6131.874962617678,66.19280701472849,0.6570172197013767,0.4,
kv_lookup,light_background,0.6,cross_socket,6131.874962617678,16.54820175368212,0.6570172197013767,0.1,
