target,spectator,regime,distance,channel,per_channel_severity,channel_overlap,total_severity,spike_probability
rpc_microservice,tlb_stress,structured,same_numa,THERMAL,0.0,0.0025000000000000005,0.12360817160848671,0.5528008451513076
rpc_microservice,tlb_stress,structured,same_numa,OS_FAULTS,0.0,0.015,0.12360817160848671,0.5528008451513076
rpc_microservice,tlb_stress,structured,cross_socket,LLC,0.004121946363297496,0.08000000000000002,0.06325010713401372,0.2764004225756538
rpc_microservice,tlb_stress,structured,cross_socket,MEM_BW,0.001629188590932716,0.04000000000000001,0.06325010713401372,0.2764004225756538
rpc_microservice,tlb_stress,structured,cross_socket,TLB,0.03385110865694967,0.1425,0.06325010713401372,0.2764004225756538
rpc_microservice,tlb_stress,structured,cross_socket,PREFETCH,0.001202613125784414,0.03,0.06325010713401372,0.2764004225756538
rpc_microservice,tlb_stress,structured,cross_socket,NUMA,0.0002483044606535574,0.015,0.06325010713401372,0.2764004225756538
rpc_microservice,tlb_stress,structured,cross_socket,THERMAL,0.0,0.0025000000000000005,0.06325010713401372,0.2764004225756538
rpc_microservice,tlb_stress,structured,cross_socket,OS_FAULTS,0.0,0.015,0.06325010713401372,0.2764004225756538
rpc_microservice,tlb_stress,adversarial,same_core,LLC,0.06548356756772543,0.08000000000000002,0.3978081830209371,0.6
rpc_microservice,tlb_stress,adversarial,same_core,MEM_BW,0.01633057045893363,0.04000000000000001,0.3978081830209371,0.6
rpc_microservice,tlb_stress,adversarial,same_core,TLB,0.26952738175034463,0.1425,0.3978081830209371,0.6
rpc_microservice,tlb_stress,adversarial,same_core,PREFETCH,0.017027697852882138,0.03,0.3978081830209371,0.6
rpc_microservice,tlb_stress,adversarial,same_core,NUMA,0.004426031670005534,0.015,0.3978081830209371,0.6
rpc_microservice,tlb_stress,adversarial,same_core,THERMAL,0.0,0.0025000000000000005,0.3978081830209371,0.6
rpc_microservice,tlb_stress,adversarial,same_core,OS_FAULTS,0.0,0.015,0.3978081830209371,0.6
rpc_microservice,tlb_stress,adversarial,same_numa,LLC,0.028706901827560357,0.08000000000000002,0.22539501117827687,0.6
rpc_microservice,tlb_stress,adversarial,same_numa,MEM_BW,0.008598908935506654,0.04000000000000001,0.22539501117827687,0.6
rpc_microservice,tlb_stress,adversarial,same_numa,TLB,0.15553885131625594,0.1425,0.22539501117827687,0.6
rpc_microservice,tlb_stress,adversarial,same_numa,PREFETCH,0.007814603146462826,0.03,0.22539501117827687,0.6
rpc_microservice,tlb_stress,adversarial,same_numa,NUMA,0.0018534100298841772,0.015,0.22539501117827687,0.6
rpc_microservice,tlb_stress,adversarial,same_numa,THERMAL,0.0,0.0025000000000000005,0.22539501117827687,0.6
rpc_microservice,tlb_stress,adversarial,same_numa,OS_FAULTS,0.0,0.015,0.22539501117827687,0.6
rpc_microservice,tlb_stress,adversarial,cross_socket,LLC,0.008243892726594992,0.08000000000000002,0.10436910614081912,0.6
rpc_microservice,tlb_stress,adversarial,cross_socket,MEM_BW,0.003258377181865432,0.04000000000000001,0.10436910614081912,0.6
rpc_microservice,tlb_stress,adversarial,cross_socket,TLB,0.06770221731389935,0.1425,0.10436910614081912,0.6
rpc_microservice,tlb_stress,adversarial,cross_socket,PREFETCH,0.002405226251568828,0.03,0.10436910614081912,0.6
rpc_microservice,tlb_stress,adversarial,cross_socket,NUMA,0.0004966089213071149,0.015,0.10436910614081912,0.6
rpc_microservice,tlb_stress,adversarial,cross_socket,THERMAL,0.0,0.0025000000000000005,0.10436910614081912,0.6
rpc_microservice,tlb_stress,adversarial,cross_socket,OS_FAULTS,0.0,0.015,0.10436910614081912,0.6
rpc_microservice,light_background,structured,same_core,LLC,0.011351798568588098,0.04000000000000001,0.024117624137216673,0.6
rpc_microservice,light_background,structured,same_core,MEM_BW,0.001886548078461073,0.020000000000000004,0.024117624137216673,0.6
rpc_microservice,light_background,structured,same_core,TLB,0.0,0.0075,0.024117624137216673,0.6
rpc_microservice,light_background,structured,same_core,PREFETCH,0.0033546871945218837,0.015,0.024117624137216673,0.6
rpc_microservice,light_background,structured,same_core,NUMA,0.00022516342600545662,0.005000000000000001,0.024117624137216673,0.6
rpc_microservice,light_background,structured,same_core,THERMAL,0.0,0.0025000000000000005,0.024117624137216673,0.6
rpc_microservice,light_background,structured,same_core,OS_FAULTS,0.0,0.015,0.024117624137216673,0.6
rpc_microservice,light_background,structured,same_numa,LLC,0.004976438810204824,0.04000000000000001,0.014883974766910758,0.4187647664262122
rpc_microservice,light_background,structured,same_numa,MEM_BW,0.0009933673272428428,0.020000000000000004,0.014883974766910758,0.4187647664262122
rpc_microservice,light_background,structured,same_numa,TLB,0.0,0.0075,0.014883974766910758,0.4187647664262122
rpc_microservice,light_background,structured,same_numa,PREFETCH,0.0015395827041452916,0.015,0.014883974766910758,0.4187647664262122
rpc_microservice,light_background,structured,same_numa,NUMA,9.428765612991541e-05,0.005000000000000001,0.014883974766910758,0.4187647664262122
rpc_microservice,light_background,structured,same_numa,THERMAL,0.0,0.0025000000000000005,0.014883974766910758,0.4187647664262122
rpc_microservice,light_background,structured,same_numa,OS_FAULTS,0.0,0.015,0.014883974766910758,0.4187647664262122
rpc_microservice,light_background,structured,cross_socket,LLC,0.001429106768756421,0.04000000000000001,0.009580177856998568,0.2093823832131061
rpc_microservice,light_background,structured,cross_socket,MEM_BW,0.00037641582863303324,0.020000000000000004,0.009580177856998568,0.2093823832131061
rpc_microservice,light_background,structured,cross_socket,TLB,0.0,0.0075,0.009580177856998568,0.2093823832131061
rpc_microservice,light_background,structured,cross_socket,PREFETCH,0.00047386216127273385,0.015,0.009580177856998568,0.2093823832131061
rpc_microservice,light_background,structured,cross_socket,NUMA,2.5263751921197698e-05,0.005000000000000001,0.009580177856998568,0.2093823832131061
rpc_microservice,light_background,structured,cross_socket,THERMAL,0.0,0.0025000000000000005,0.009580177856998568,0.2093823832131061
rpc_microservice,light_background,structured,cross_socket,OS_FAULTS,0.0,0.015,0.009580177856998568,0.2093823832131061
rpc_microservice,light_background,adversarial,same_core,LLC,0.022703597137176196,0.04000000000000001,0.04100910201371367,0.6
rpc_microservice,light_background,adversarial,same_core,MEM_BW,0.003773096156922146,0.020000000000000004,0.04100910201371367,0.6
rpc_microservice,light_background,adversarial,same_core,TLB,0.0,0.0075,0.04100910201371367,0.6
rpc_microservice,light_background,adversarial,same_core,PREFETCH,0.006709374389043767,0.015,0.04100910201371367,0.6
rpc_microservice,light_background,adversarial,same_core,NUMA,0.00045032685201091324,0.005000000000000001,0.04100910201371367,0.6
rpc_microservice,light_background,adversarial,same_core,THERMAL,0.0,0.0025000000000000005,0.04100910201371367,0.6
rpc_microservice,light_background,adversarial,same_core,OS_FAULTS,0.0,0.015,0.04100910201371367,0.6
rpc_microservice,light_background,adversarial,same_numa,LLC,0.009952877620409648,0.04000000000000001,0.022503546072197282,0.6
rpc_microservice,light_background,adversarial,same_numa,MEM_BW,0.0019867346544856857,0.020000000000000004,0.022503546072197282,0.6
rpc_microservice,light_background,adversarial,same_numa,TLB,0.0,0.0075,0.022503546072197282,0.6
rpc_microservice,light_background,adversarial,same_numa,PREFETCH,0.0030791654082905832,0.015,0.022503546072197282,0.6
rpc_microservice,light_background,adversarial,same_numa,NUMA,0.00018857531225983083,0.005000000000000001,0.022503546072197282,0.6
rpc_microservice,light_background,adversarial,same_numa,THERMAL,0.0,0.0025000000000000005,0.022503546072197282,0.6
rpc_microservice,light_background,adversarial,same_numa,OS_FAULTS,0.0,0.015,0.022503546072197282,0.6
rpc_microservice,light_background,adversarial,cross_socket,LLC,0.002858213537512842,0.04000000000000001,0.011886414406827495,0.5234559580327652
rpc_microservice,light_background,adversarial,cross_socket,MEM_BW,0.0007528316572660665,0.020000000000000004,0.011886414406827495,0.5234559580327652
rpc_microservice,light_background,adversarial,cross_socket,TLB,0.0,0.0075,0.011886414406827495,0.5234559580327652
rpc_microservice,light_background,adversarial,cross_socket,PREFETCH,0.0009477243225454677,0.015,0.011886414406827495,0.5234559580327652
rpc_microservice,light_background,adversarial,cross_socket,NUMA,5.0527503842395396e-05,0.005000000000000001,0.011886414406827495,0.5234559580327652
rpc_microservice,light_background,adversarial,cross_socket,THERMAL,0.0,0.0025000000000000005,0.011886414406827495,0.5234559580327652
rpc_microservice,light_background,adversarial,cross_socket,OS_FAULTS,0.0,0.015,0.011886414406827495,0.5234559580327652
kv_lookup,cache_thrash,structured,same_core,LLC,1.6587373069735267,0.76,1.808825863238075,0.6
