n_probes,repeat,strategy,reconstruction_error_l1,reconstruction_error_l2,ranking_ndcg_k3,ranking_ndcg_k5,jaccard_k3,precision_k3,recall_k3,kendall_tau
8,214,dpp,5162653.466949973,12120691.8368492,0.6173244868995134,0.7809816970251713,0.5,0.6666666666666666,0.6666666666666666,0.0
10,210,random,627959.8679093777,2161330.105745406,1.0,1.0,1.0,1.0,1.0,1.0
10,210,round_robin,6350296.627986345,13297436.781930221,0.6078732404196378,0.7329524435945366,0.5,0.6666666666666666,0.6666666666666666,0.0
10,210,ucb,79146.37761118106,138171.08663019113,1.0,1.0,1.0,1.0,1.0,1.0
10,210,dpp,2420552.252695187,7263501.808195174,0.8614478530494267,0.9755206672674911,0.5,0.6666666666666666,0.6666666666666666,0.6
10,211,random,2249886.572043081,6649792.925923486,0.8971421431585611,0.9863580729975401,0.5,0.6666666666666666,0.6666666666666666,0.8
10,211,round_robin,37349.49213566237,64059.36628249019,1.0,1.0,1.0,1.0,1.0,1.0
10,211,ucb,69365.43745700695,123528.24652551717,1.0,1.0,1.0,1.0,1.0,1.0
10,211,dpp,1687950.1153669348,6290900.241729127,0.8971421431585611,0.9733174495686235,0.5,0.6666666666666666,0.6666666666666666,0.6
10,212,random,4026863.4888895364,11140198.300477086,0.4341182347169036,0.770096320283714,0.2,0.3333333333333333,0.3333333333333333,-0.2
10,212,round_robin,1058174.3418808004,3783030.21455742,1.0,0.9955833051196766,1.0,1.0,1.0,0.8
10,212,ucb,57624.83132643355,117552.35072098601,1.0,1.0,1.0,1.0,1.0,1.0
10,212,dpp,79405.5529135155,118288.30598677049,1.0,1.0,1.0,1.0,1.0,1.0
10,213,random,2220530.7651450303,6649284.498105359,0.8971421431585611,0.9863580729975401,0.5,0.6666666666666666,0.6666666666666666,0.8
10,213,round_robin,5796733.569188217,13121667.26019808,0.26089201742828566,0.6379614452858208,0.2,0.3333333333333333,0.3333333333333333,-0.6
10,213,ucb,95779.51768061746,186516.34303102756,1.0,1.0,1.0,1.0,1.0,1.0
10,213,dpp,98100.277037916,208126.31365484538,1.0,1.0,1.0,1.0,1.0,1.0
10,214,random,1015621.3076432236,3781199.0830553863,1.0,0.9955833051196766,1.0,1.0,1.0,0.8
10,214,round_robin,660453.8824836153,2160225.6883646674,1.0,1.0,1.0,1.0,1.0,1.0
10,214,ucb,75604.72388563123,151375.6727792884,1.0,1.0,1.0,1.0,1.0,1.0
10,214,dpp,1084173.8748340541,3786969.879524739,1.0,0.9955833051196766,1.0,1.0,1.0,0.8
15,210,random,50224.05394343722,107278.19517480137,1.0,1.0,1.0,1.0,1.0,1.0
15,210,round_robin,54075.69105585734,115717.6583993753,1.0,1.0,1.0,1.0,1.0,1.0
15,210,ucb,58425.103718068414,120844.61852633477,1.0,1.0,1.0,1.0,1.0,1.0
15,210,dpp,37498.26191247802,68648.5611513054,1.0,1.0,1.0,1.0,1.0,1.0
15,211,random,50450.08340216116,104151.16339330586,1.0,1.0,1.0,1.0,1.0,1.0
15,211,round_robin,91799.86293708092,187696.07543795,1.0,1.0,1.0,1.0,1.0,1.0
15,211,ucb,39960.220368238566,78034.31824836193,1.0,1.0,1.0,1.0,1.0,1.0
15,211,dpp,68131.70996685179,159137.0811213985,1.0,1.0,1.0,1.0,1.0,1.0
15,212,random,29386.448086181073,58713.740365810874,1.0,1.0,1.0,1.0,1.0,1.0
15,212,round_robin,74006.10422612733,146673.7451408658,1.0,1.0,1.0,1.0,1.0,1.0
15,212,ucb,36531.00824281464,69517.98819305908,1.0,1.0,1.0,1.0,1.0,1.0
15,212,dpp,56584.442941862144,106638.91304200143,1.0,1.0,1.0,1.0,1.0,1.0
15,213,random,110979.36679458566,274149.32625284506,1.0,1.0,1.0,1.0,1.0,1.0
15,213,round_robin,60846.988172000696,111789.79893831273,1.0,1.0,1.0,1.0,1.0,1.0
15,213,ucb,22190.418746793028,41709.64937426576,1.0,1.0,1.0,1.0,1.0,1.0
15,213,dpp,73900.92078599513,142166.63012910003,1.0,1.0,1.0,1.0,1.0,1.0
15,214,random,40594.85910591271,89896.93887169551,1.0,1.0,1.0,1.0,1.0,1.0
15,214,round_robin,47434.16061061451,94715.88860073678,1.0,1.0,1.0,1.0,1.0,1.0
15,214,ucb,37236.05081488977,69588.4027410918,1.0,1.0,1.0,1.0,1.0,1.0
15,214,dpp,36671.54746415375,70685.3173209578,1.0,1.0,1.0,1.0,1.0,1.0
20,210,random,62687.51788111006,133318.721282573,1.0,1.0,1.0,1.0,1.0,1.0
20,210,round_robin,90039.3192174546,176907.10691454168,1.0,1.0,1.0,1.0,1.0,1.0
20,210,ucb,65505.15862542989,134674.77370335808,1.0,1.0,1.0,1.0,1.0,1.0
