drift_type,magnitude,repeat,naive_bias,irbs_bias,naive_rmse,irbs_rmse
none,0.15,19,-21528.816889513953,-32989.40948330681,39677.58987234193,100307.91663178381
none,0.2,0,-1721.534127666644,-41936.42880052977,36574.03282467396,36671.75525994083
none,0.2,1,51905.35205288566,-26122.034812201542,36574.03282467396,36671.75525994083
none,0.2,2,-151.20290353745804,24585.318173199397,36574.03282467396,36671.75525994083
none,0.2,3,-52957.059911840406,-20909.65341348626,36574.03282467396,36671.75525994083
none,0.2,4,-31689.879817545967,67242.2902188646,36574.03282467396,36671.75525994083
none,0.2,5,33077.22264855943,9985.451504777651,36574.03282467396,36671.75525994083
none,0.2,6,21947.02205069401,30467.49221855504,36574.03282467396,36671.75525994083
none,0.2,7,-36370.8765972126,-56321.024817311016,36574.03282467396,36671.75525994083
none,0.2,8,-48449.6532111977,-10003.269734863978,36574.03282467396,36671.75525994083
none,0.2,9,-12468.659193933476,-30699.8150193154,36574.03282467396,36671.75525994083
none,0.2,10,-34293.13038661794,-45362.246929569694,36574.03282467396,36671.75525994083
none,0.2,11,-13782.466284790717,-70340.23115577697,36574.03282467396,36671.75525994083
none,0.2,12,33713.666585860105,-15420.768114397419,36574.03282467396,36671.75525994083
none,0.2,13,-29445.514605197473,-18240.345176162227,36574.03282467396,36671.75525994083
none,0.2,14,-35115.320528893586,10373.644672932627,36574.03282467396,36671.75525994083
none,0.2,15,15158.536130170396,18383.267715230322,36574.03282467396,36671.75525994083
none,0.2,16,-40042.54482837801,-25934.761805726943,36574.03282467396,36671.75525994083
none,0.2,17,-23748.93531338632,-26603.02096290348,36574.03282467396,36671.75525994083
none,0.2,18,-36329.6671115761,-9895.396456375776,36574.03282467396,36671.75525994083
none,0.2,19,-80784.53743013291,-64418.71846253592,36574.03282467396,36671.75525994083
none,0.3,0,4987.439536636986,-51019.28874704978,39779.61503169698,64946.464941513084
none,0.3,1,-35919.268735200545,13565.455336404411,39779.61503169698,64946.464941513084
none,0.3,2,43475.71630897594,22688.937008231645,39779.61503169698,64946.464941513084
none,0.3,3,-60645.42299090559,242855.43175276933,39779.61503169698,64946.464941513084
none,0.3,4,4697.92076667177,-72737.67375454422,39779.61503169698,64946.464941513084
none,0.3,5,-41338.51201803604,-7730.468968137808,39779.61503169698,64946.464941513084
none,0.3,6,-21810.701242539973,58972.875664339605,39779.61503169698,64946.464941513084
none,0.3,7,-41678.24544070428,26000.716595368896,39779.61503169698,64946.464941513084
none,0.3,8,-31588.738680973416,-24365.91675669467,39779.61503169698,64946.464941513084
none,0.3,9,-40886.77668911911,24906.94066951325,39779.61503169698,64946.464941513084
none,0.3,10,-2441.5556672487,3956.621739361086,39779.61503169698,64946.464941513084
none,0.3,11,-15076.034639280813,26126.342812164046,39779.61503169698,64946.464941513084
none,0.3,12,-38517.63287818729,-50896.631336666615,39779.61503169698,64946.464941513084
none,0.3,13,39991.50202430735,-40134.28701692994,39779.61503169698,64946.464941513084
none,0.3,14,49403.467472276214,28481.83065741908,39779.61503169698,64946.464941513084
none,0.3,15,-24553.608855859085,-577.2394108250737,39779.61503169698,64946.464941513084
none,0.3,16,-32416.114161795907,-48834.664490197494,39779.61503169698,64946.464941513084
none,0.3,17,-32425.732027953607,-18139.454674495646,39779.61503169698,64946.464941513084
none,0.3,18,83117.1194816673,-53361.825911334454,39779.61503169698,64946.464941513084
none,0.3,19,-52740.234107462486,9462.693975518981,39779.61503169698,64946.464941513084
slow_ramp,0.0,0,-32555.04137114939,-50310.9637543243,47742.88847581822,31444.797937007428
slow_ramp,0.0,1,139029.32133615453,-42810.47106222779,47742.88847581822,31444.797937007428
slow_ramp,0.0,2,25151.600396210823,-32115.288500265393,47742.88847581822,31444.797937007428
slow_ramp,0.0,3,15687.82944294266,-61845.612270751444,47742.88847581822,31444.797937007428
slow_ramp,0.0,4,-20720.638745502103,17615.831733084226,47742.88847581822,31444.797937007428
slow_ramp,0.0,5,-60194.54694207379,-27667.047081352386,47742.88847581822,31444.797937007428
