mean,median,std,p95,p99,cvar95,cvar99,n_samples,slo_violation_rate,scheduler,target,device,load,distance,regime,n_cotenants,cotenants,scenario,seed
28107538.094160393,7396049.928114276,134556651.95688483,57783236.598253846,490103462.5266452,365373478.670132,1233911289.8669674,300,1.0,random,triton_resnet50,cloud_c5,0.7,same_core,adversarial,3,"batch_training,idle_daemon,data_shuffle",Triton (ResNet-50),45
5814515.910711522,2129076.343629688,16265066.811125644,20332315.658750772,50621325.836146995,52530164.6809945,146292404.79878572,300,1.0,sit_dpp,triton_resnet50,cloud_c5,0.7,same_core,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",Triton (ResNet-50),45
4228576.017656331,1451305.6758383608,17043225.326449323,13450509.629503403,45931936.98277587,45382272.581399985,135807457.46804538,300,1.0,random,triton_resnet50,cloud_c5,0.7,same_numa,adversarial,3,"log_aggregator,batch_training,data_shuffle",Triton (ResNet-50),45
1058562.045395048,578628.7930171287,1703903.6173013211,3882611.669385799,8989745.85254578,7071942.337036362,12584580.302351626,300,1.0,sit_dpp,triton_resnet50,cloud_c5,0.7,same_numa,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",Triton (ResNet-50),45
20200.64676017331,5518.802159537783,79307.89261730538,54671.19065136951,510045.938836191,260942.7757837945,699735.4203617238,300,0.9633333333333334,random,redis_get,cloud_c5,0.7,same_core,structured,3,"video_transcode,idle_daemon,batch_training",Redis (GET),42
3455.6951424569675,1593.4613276314976,7322.255758966167,13308.237510294088,32745.060560426922,28407.8753293869,59417.65071018896,300,0.8733333333333333,sit_dpp,redis_get,cloud_c5,0.7,same_core,structured,3,"idle_daemon,log_aggregator,data_shuffle",Redis (GET),42
2999.131746475158,1164.7413718031712,13586.369166093871,7668.088463298611,16263.425191504033,28732.53836270862,100897.93164271693,300,0.86,random,redis_get,cloud_c5,0.7,same_numa,structured,3,"idle_daemon,data_shuffle,video_transcode",Redis (GET),42
2065.6412093417325,759.4141295655108,6111.655638779799,6294.078290826506,27839.842329999232,19840.544951108215,54806.177777474884,300,0.7133333333333334,sit_dpp,redis_get,cloud_c5,0.7,same_numa,structured,3,"idle_daemon,log_aggregator,data_shuffle",Redis (GET),42
24275.744251889115,5620.027463761522,172544.3978396471,37985.197115741365,328855.8484048987,340776.8635952332,1326270.045940916,300,0.9866666666666667,random,redis_get,cloud_c5,0.7,same_core,adversarial,3,"log_aggregator,idle_daemon,video_transcode",Redis (GET),42
31850.65822250571,3671.2892251340854,300842.40505055897,38511.698586593935,506821.09161273227,534839.7954769022,2124493.255490564,300,0.9666666666666667,sit_dpp,redis_get,cloud_c5,0.7,same_core,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",Redis (GET),42
9571.84379297917,3255.0463517868257,53999.429848854605,28566.42552668629,49905.98396436185,102564.55693858993,367798.0574586945,300,0.96,random,redis_get,cloud_c5,0.7,same_numa,adversarial,3,"data_shuffle,idle_daemon,video_transcode",Redis (GET),42
20194.549460481678,1664.7445176065157,183592.50071500277,12034.540737812256,532570.6497693197,360981.6950883797,1521918.6494248838,300,0.9366666666666666,sit_dpp,redis_get,cloud_c5,0.7,same_numa,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",Redis (GET),42
11476.115244103554,3654.356921937201,61887.0905944416,21823.305028168706,79111.19669459628,139357.1141004923,541779.9329085381,300,0.9433333333333334,random,redis_get,cloud_c5,0.7,same_core,structured,3,"idle_daemon,video_transcode,data_shuffle",Redis (GET),43
3493.5463011416887,1481.7078379595478,8800.927598466837,11259.294881172269,43883.86842713098,33199.70662477838,69700.17405523775,300,0.8533333333333334,sit_dpp,redis_get,cloud_c5,0.7,same_core,structured,3,"idle_daemon,log_aggregator,data_shuffle",Redis (GET),43
